"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule large display\Meetmodule V2.kicad_sch"
"Date:","19-12-2022 17:48:49"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"9","1","D3","LED","Device:LED","HPT:LED","~","","","",""
"10","3","D4, D6, D7","ESD9B3.3ST5G","Diode:ESD9B3.3ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","",""
"11","1","D5","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","",""
"12","1","J1","USB_B_Micro","Connector:USB_B_Micro","HPT:Micro USB, Type B","~","","","",""
"13","1","J2","Ethernet_(100_Base-T_&_PoE)","HPT:Ethernet_(100_Base-T_&_PoE)","HPT:PoE, 10 Pin with LED","","","","",""
"14","1","J3","Display","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","",""
"15","1","J4","Extra I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"16","1","J5","Debugger","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"17","3","L1, L2, L3","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"18","1","MOD1","Adafruit_3847_connector","HPT:Adafruit_3847_connector","HPT:Adafruit 3847 connector","","","","",""
"19","1","Q1","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","",""
"20","3","R1, R17, R21","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"21","4","R2, R3, R8, R10","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"22","2","R4, R5","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"23","1","R6","200k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"24","1","R7","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"25","2","R9, R11","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
